user,time,appDisplayName_score,clientAppUsed_score,deviceDetailbrowser_score,deviceDetaildisplayName_score,deviceDetailoperatingSystem_score,statusfailureReason_score,appincrement_score,locincrement_score,logcount_score,anomalyScore
cperry@domain.com,2022-08-31T04:41:40.618981Z,0.40957585,0.39827988,0.40313077,0.26983878,0.40400863,0.3556809,0.14711772,0.34262872,1.0594267,0.42107645
cperry@domain.com,2022-08-31T06:36:42.861378Z,0.4102039,0.39888012,0.40402806,0.27065265,0.40478572,0.35627976,0.14666656,0.3423615,0.54248947,0.36403865
cperry@domain.com,2022-08-31T06:54:43.437396Z,2.5532176,3.0409682,0.41974536,0.63005143,3.2894049,0.4699776,0.6615166,3.0410805,0.21848984,1.5916058
cperry@domain.com,2022-08-31T09:01:27.168165Z,0.4133863,0.39948756,0.4095813,0.27404398,0.41020787,0.35844693,0.6555313,3.04692,0.1048087,0.6747126
cperry@domain.com,2022-08-31T09:36:10.800497Z,0.41377074,0.3999785,0.410269,0.2746633,0.4106814,0.35891315,0.65592533,3.04009,0.4199972,0.7093654
cperry@domain.com,2022-08-31T10:23:51.665221Z,0.4141508,0.400457,0.41096264,0.2752908,0.41115382,0.35936746,0.6564065,3.0331502,0.65762246,0.7353958
cperry@domain.com,2022-08-31T12:44:03.529069Z,2.3752065,2.6509428,2.517878,0.8584584,2.4786017,0.6317398,0.0566557,3.0376883,0.8338599,1.7156702
cperry@domain.com,2022-08-31T13:10:35.156518Z,0.41343993,0.39747572,0.41007197,0.27445838,0.4100056,0.35831943,0.17502789,2.9785357,0.89770955,0.70167154
cperry@domain.com,2022-08-31T15:34:39.276694Z,0.41389695,0.39809403,0.41084674,0.27523375,0.41054592,0.35884577,0.17013547,2.9705648,0.91142863,0.70217687
cperry@domain.com,2022-08-31T17:42:26.292496Z,0.41432038,0.3987219,0.41156223,0.27595472,0.41101104,0.3593129,0.16535148,2.9641225,0.8485826,0.6943267
cperry@domain.com,2022-08-31T19:21:06.297764Z,0.41479477,0.39938518,0.41233888,0.27676526,0.41157022,0.35985357,0.15998894,2.9582207,0.7095432,0.67805123
cperry@domain.com,2022-08-31T21:34:30.119498Z,2.4310997,2.5420673,2.322673,1.0132223,2.3722007,3.2331607,2.0141766,2.972963,0.42980546,2.14793
cperry@domain.com,2022-08-31T22:54:52.795400Z,0.415296,0.39788046,0.41253427,0.2782811,0.41170013,0.36031714,2.3962939,2.9169104,0.22518934,0.86826694
attacktarget@domain.com,2022-08-31T00:21:46.280050Z,3.6064973,4.8550096,10.835735,0.37464648,0.35255843,5.0654764,0.80408186,2.4063444,0.6986256,3.2221084
attacktarget@domain.com,2022-08-31T00:25:12.756199Z,3.592278,5.2081795,10.716462,0.37761784,0.3506256,5.2256103,0.50196534,2.4687002,0.30024958,3.193521
attacktarget@domain.com,2022-08-31T00:27:44.296328Z,3.6518512,5.04423,10.910416,0.33831143,0.30305904,4.663893,1.6272317,2.5421073,0.036764007,3.2353182
attacktarget@domain.com,2022-08-31T00:44:58.362390Z,3.7968783,4.3337746,11.34647,0.26449043,0.22716044,3.6423116,7.2178464,2.6181157,0.30574325,3.7503102
attacktarget@domain.com,2022-08-31T00:47:59.935993Z,4.1043754,2.8775778,12.31048,0.14049612,0.11247659,2.1846206,16.349247,2.6571643,0.51501787,4.583495
attacktarget@domain.com,2022-08-31T01:18:44.767082Z,4.5086536,1.4234684,13.449258,0.031351656,0.013674434,0.83914936,28.97716,2.669582,0.649364,5.8401847
attacktarget@domain.com,2022-08-31T01:34:38.662013Z,4.9987345,0.30643845,15.209538,0.05440318,0.058978654,0.09912869,44.98949,2.6938002,0.7159368,7.6807165
attacktarget@domain.com,2022-08-31T02:32:09.375660Z,5.5155125,0.48025706,16.860596,0.10926941,0.10484478,0.737223,64.58173,2.7072806,0.71491253,10.201292
attacktarget@domain.com,2022-08-31T02:51:52.906198Z,6.064455,0.98941696,18.574932,0.14342944,0.1332039,1.1369519,87.63239,2.7133124,0.64507025,13.114797
attacktarget@domain.com,2022-08-31T02:53:38.979385Z,6.6252728,1.3163612,20.321526,0.16443568,0.1506133,1.3816495,114.194954,2.7142782,0.5072182,16.375147
attacktarget@domain.com,2022-08-31T03:08:28.078907Z,7.192998,1.5242587,22.074142,0.17735617,0.16129465,1.5312493,144.27023,2.7147965,0.30165768,19.99422
attacktarget@domain.com,2022-08-31T03:36:22.537827Z,7.7610493,1.6568686,23.834967,0.18524759,0.16784918,1.6226735,177.87407,2.7192047,0.029819833,23.983528
attacktarget@domain.com,2022-08-31T03:40:02.546478Z,8.342982,1.7429036,25.62131,0.1901902,0.17187664,1.6791217,215.01053,2.7198613,0.30479398,28.420397
attacktarget@domain.com,2022-08-31T03:51:46.377270Z,8.933454,1.7975056,27.414766,0.19323383,0.17430396,1.7136647,255.65948,2.721882,0.7047433,33.257004
attacktarget@domain.com,2022-08-31T03:56:40.697360Z,9.526893,1.8319778,29.201683,0.19510317,0.17576717,1.7347567,299.84787,2.726097,1.1687795,38.489883
attacktarget@domain.com,2022-08-31T03:57:59.150499Z,10.121714,1.8538536,30.987926,0.19624741,0.17664947,1.7476856,347.5646,2.7316775,1.6970408,44.11971
attacktarget@domain.com,2022-08-31T04:11:58.775655Z,10.717686,1.8677615,32.772625,0.19694757,0.177181,1.7556005,398.80878,2.736491,2.2914448,50.14717
attacktarget@domain.com,2022-08-31T04:15:10.552752Z,11.247448,1.876875,34.81939,0.19741128,0.17752023,1.7607979,453.03598,2.7390673,3.008757,56.540363
attacktarget@domain.com,2022-08-31T04:19:43.576316Z,11.919497,1.8822845,36.357887,0.19764346,0.17769662,1.7634457,511.8233,2.7411773,3.6817253,63.393852
attacktarget@domain.com,2022-08-31T04:31:10.434988Z,12.524066,1.8858911,38.15696,0.19780573,0.177814,1.7652811,573.6034,2.7428982,4.476859,70.61455
attacktarget@domain.com,2022-08-31T05:06:02.737561Z,13.129263,1.888185,39.952873,0.1979056,0.17788407,1.7664019,638.90314,2.7428854,5.333552,78.23246
attacktarget@domain.com,2022-08-31T05:15:26.740820Z,13.734483,1.889645,41.745846,0.19796616,0.17792587,1.7670743,707.7122,2.7431755,6.255115,86.247055
attacktarget@domain.com,2022-08-31T05:48:18.733042Z,14.3403,1.8905773,43.53657,0.1980036,0.1779517,1.7674947,780.0432,2.745586,7.241491,94.66013
attacktarget@domain.com,2022-08-31T05:53:11.733774Z,14.946806,1.8911662,45.328556,0.1980267,0.17796767,1.7677469,855.88983,2.7478228,8.292402,103.471146
attacktarget@domain.com,2022-08-31T06:30:53.897524Z,15.55584,1.8915466,47.12812,0.19804105,0.17797627,1.767915,935.25183,2.750385,9.406819,112.68095
attacktarget@domain.com,2022-08-31T06:37:47.494645Z,16.168652,1.8917919,48.93702,0.1980498,0.17798181,1.767999,1018.1368,2.753002,10.586286,122.29084
attacktarget@domain.com,2022-08-31T06:55:16.449398Z,16.188074,1.8917919,49.002457,0.1980498,0.17798181,1.7680131,1017.8782,2.7503471,11.9386425,122.42151
attacktarget@domain.com,2022-08-31T06:55:48.060401Z,0.78015125,1.8920864,0.20070362,0.19805978,0.17798918,1.7681252,1103.5516,0.44866678,13.14959,124.68522
attacktarget@domain.com,2022-08-31T07:22:16.265700Z,0.77967674,1.8920741,54.512413,0.19805916,0.17798856,1.7681112,1103.968,0.44627815,14.658022,130.93341
attacktarget@domain.com,2022-08-31T07:28:17.677010Z,0.7809839,1.8920987,0.20070362,0.19806041,0.17798918,1.7681252,1102.4019,4.6490235,16.021856,125.343414
attacktarget@domain.com,2022-08-31T07:31:26.657852Z,17.64252,1.8920496,53.227566,0.19805853,0.17798795,1.7681112,1193.7163,4.8759933,17.523518,143.4469
attacktarget@domain.com,2022-08-31T07:37:03.128501Z,18.265024,1.892111,55.05081,0.19806041,0.17798918,1.7681252,1287.0992,4.869983,19.099684,154.269
attacktarget@domain.com,2022-08-31T08:30:19.375154Z,18.888435,1.8921477,56.875744,0.19806103,0.17798918,1.7681392,1383.9879,4.86339,20.73981,165.48796
attacktarget@domain.com,2022-08-31T08:49:16.843785Z,19.512175,1.8921722,58.700527,0.19806227,0.1779904,1.7681392,1484.3872,4.8568044,22.444372,177.10417
attacktarget@domain.com,2022-08-31T08:54:09.272432Z,20.136503,1.8921845,60.52741,0.19806227,0.1779904,1.7681532,1588.286,4.8503284,24.213242,189.11665
attacktarget@domain.com,2022-08-31T09:03:54.652617Z,21.690506,1.8921968,63.33738,0.1980629,0.1779904,1.7681532,1695.1368,4.872312,26.133934,201.68971
attacktarget@domain.com,2022-08-31T09:04:24.932574Z,21.38508,1.8921968,64.17973,0.1980629,0.1779904,1.7681532,1806.6224,4.8358736,27.942207,214.33354
attacktarget@domain.com,2022-08-31T09:18:21.595449Z,22.008947,1.8921968,66.00625,0.1980629,0.1779904,1.7681532,1921.0526,4.8292737,29.904411,227.53755
attacktarget@domain.com,2022-08-31T09:45:43.730793Z,22.63319,1.892209,67.83394,0.1980629,0.1779904,1.7681532,2038.9922,4.8235946,31.932228,241.13908
attacktarget@domain.com,2022-08-31T10:04:21.260218Z,23.25749,1.892209,69.66161,0.1980629,0.1779904,1.7681532,2160.4443,4.8179207,34.025032,255.1381
attacktarget@domain.com,2022-08-31T10:15:54.770106Z,23.881844,1.892209,71.4893,0.1980629,0.1779904,1.7681532,2285.409,4.8122478,36.182842,269.5346
attacktarget@domain.com,2022-08-31T10:22:21.725548Z,9.698109,1.892209,74.60346,0.1980629,0.1779904,1.7681532,2412.4756,4.779873,38.858738,282.71692
attacktarget@domain.com,2022-08-31T10:26:43.885358Z,25.130486,1.892209,75.144775,0.1980629,0.1779904,1.7681532,2545.8694,4.80029,40.69204,299.51926
attacktarget@domain.com,2022-08-31T11:02:49.802926Z,25.754862,1.892209,76.97265,0.1980629,0.1779904,1.7681532,2681.3672,4.7942357,43.043037,315.1076
attacktarget@domain.com,2022-08-31T11:11:04.836046Z,26.379257,1.892209,78.80051,0.1980629,0.1779904,1.7681532,2820.377,4.7881894,45.45892,331.09338
attacktarget@domain.com,2022-08-31T11:41:21.162196Z,27.003677,1.892209,80.62837,0.1980629,0.1779904,1.7681532,2962.8987,4.7821445,47.9397,347.47656
attacktarget@domain.com,2022-08-31T11:45:32.177381Z,27.627735,1.892209,82.45413,0.1980629,0.1779904,1.7681532,3108.9514,4.7764544,50.48799,364.25937
attacktarget@domain.com,2022-08-31T12:02:02.357472Z,28.74064,1.892209,83.48544,0.1980629,0.1779904,1.7681532,3108.0024,4.8035917,53.490883,364.72885
attacktarget@domain.com,2022-08-31T12:31:02.659257Z,28.272293,1.892209,84.338234,0.1980629,0.1779904,1.7681532,3257.9648,4.7752347,56.03276,381.7133
attacktarget@domain.com,2022-08-31T12:45:59.955475Z,28.89657,1.892209,86.164375,0.1980629,0.1779904,1.7681532,3411.0352,4.770011,58.78321,399.2984
attacktarget@domain.com,2022-08-31T12:46:38.903883Z,0.78740406,1.892209,0.20070611,0.1980629,0.1779904,1.7681532,3409.5906,4.5703692,61.958096,386.79373
attacktarget@domain.com,2022-08-31T13:04:29.262073Z,29.541674,1.892209,88.05001,0.1980629,0.1779904,1.7681532,3567.1023,4.770585,64.74771,417.5832
attacktarget@domain.com,2022-08-31T13:06:40.972776Z,30.166306,1.892209,89.87666,0.1980629,0.1779904,1.7681532,3727.2234,4.766435,67.69894,435.97424
attacktarget@domain.com,2022-08-31T15:03:06.883156Z,30.790945,1.892209,91.70333,0.1980629,0.1779904,1.7681532,3890.8591,4.7622848,70.71521,454.76306
attacktarget@domain.com,2022-08-31T15:05:52.546785Z,30.29795,1.892209,91.95954,0.1980629,0.1779904,1.7681532,3889.1772,4.7863116,74.18133,454.93765
attacktarget@domain.com,2022-08-31T15:06:29.924104Z,12.339073,1.892209,0.20070611,0.1980629,0.1779904,1.7681532,3887.0872,4.706253,78.19479,442.9516
attacktarget@domain.com,2022-08-31T15:11:36.514859Z,31.456285,1.892209,93.65015,0.1980629,0.1779904,1.7681532,4056.7852,4.7676353,80.75083,474.6052
attacktarget@domain.com,2022-08-31T15:24:45.521418Z,32.081326,1.892209,95.477196,0.1980629,0.1779904,1.7681532,4227.419,4.764053,84.04115,494.20215
attacktarget@domain.com,2022-08-31T15:42:25.325263Z,32.707283,1.892209,97.30647,0.1980629,0.1779904,1.7681532,4401.544,4.761447,87.39803,514.1949
attacktarget@domain.com,2022-08-31T15:42:39.543316Z,33.33324,1.892209,99.13574,0.1980629,0.1779904,1.7681532,4579.182,4.7588396,90.820114,534.58514
attacktarget@domain.com,2022-08-31T15:45:18.666951Z,33.959206,1.892209,100.96503,0.1980629,0.1779904,1.7681532,4760.334,4.756233,94.30738,555.3731
attacktarget@domain.com,2022-08-31T16:02:29.989817Z,34.58517,1.892209,102.7943,0.1980629,0.1779904,1.7681532,4945.0005,4.753628,97.859825,576.5589
attacktarget@domain.com,2022-08-31T16:05:32.524151Z,35.211147,1.892209,104.623665,0.1980629,0.1779904,1.7681532,5133.1816,4.75101,101.47783,598.1424
attacktarget@domain.com,2022-08-31T16:07:53.850661Z,35.837032,1.892209,106.453224,0.1980629,0.1779904,1.7681532,5324.874,4.748634,105.16235,620.12354
attacktarget@domain.com,2022-08-31T16:12:34.179052Z,36.462753,1.892209,108.28307,0.1980629,0.1779904,1.7681532,5520.0737,4.7466803,108.91397,642.50183
attacktarget@domain.com,2022-08-31T16:44:59.885695Z,36.484474,1.892209,108.34509,0.1980629,0.1779904,1.7681532,5519.3486,4.75106,113.077354,642.8937
attacktarget@domain.com,2022-08-31T16:47:43.736735Z,37.110264,1.892209,110.17485,0.1980629,0.1779904,1.7681532,5718.0522,4.749079,116.966644,665.67664
attacktarget@domain.com,2022-08-31T17:01:04.572938Z,37.73614,1.892209,112.00435,0.1980629,0.1779904,1.7681532,5920.275,4.7470436,120.9236,688.8581
attacktarget@domain.com,2022-08-31T17:03:03.981501Z,38.362022,1.892209,113.83381,0.1980629,0.1779904,1.7681532,6126.0107,4.745017,124.94587,712.4371
attacktarget@domain.com,2022-08-31T17:07:25.250132Z,38.987904,1.892209,115.66327,0.1980629,0.1779904,1.7681532,6335.261,4.7429914,129.03357,736.41394
attacktarget@domain.com,2022-08-31T17:07:37.776495Z,0.7876437,1.892209,0.20070611,0.1980629,0.1779904,1.7681532,6333.629,4.4988437,133.55075,719.63367
attacktarget@domain.com,2022-08-31T17:11:41.471229Z,39.635685,1.892209,117.55345,0.1980629,0.1779904,1.7681532,6547.2466,4.7447724,137.78992,761.22296
attacktarget@domain.com,2022-08-31T17:18:24.031913Z,40.261444,1.892209,119.38254,0.1980629,0.1779904,1.7681532,6763.5054,4.7425985,142.07999,786.0009
attacktarget@domain.com,2022-08-31T17:42:17.775583Z,40.28327,1.892209,119.443115,0.1980629,0.1779904,1.7681532,6762.712,4.7463903,146.83282,786.45044
attacktarget@domain.com,2022-08-31T17:56:37.644518Z,40.3051,1.892209,119.503716,0.1980629,0.1779904,1.7681532,6761.917,4.7501817,151.66348,786.90845
attacktarget@domain.com,2022-08-31T18:32:50.035842Z,40.327732,1.892209,119.566895,0.1980629,0.1779904,1.7681532,6761.113,4.7536645,156.56914,787.374
attacktarget@domain.com,2022-08-31T19:12:44.541436Z,0.787648,1.892209,122.90291,0.1980629,0.1779904,1.7681532,6761.113,4.5527115,161.56824,783.8846
attacktarget@domain.com,2022-08-31T19:27:54.301517Z,40.97693,1.892209,121.46179,0.1980629,0.1779904,1.7681532,6980.0127,4.754747,166.18944,813.04803
attacktarget@domain.com,2022-08-31T19:33:22.285318Z,41.602814,1.892209,123.29102,0.1980629,0.1779904,1.7681532,7203.2554,4.7522893,170.89854,838.6485
attacktarget@domain.com,2022-08-31T19:39:18.376989Z,41.626133,1.892209,123.35669,0.1980629,0.1779904,1.7681532,7202.401,4.7558293,176.09521,839.14124
attacktarget@domain.com,2022-08-31T19:58:10.899357Z,0.7876519,1.892209,0.20070611,0.1980629,0.1779904,1.7681532,7200.2456,4.5130267,181.28546,821.2298
attacktarget@domain.com,2022-08-31T20:00:04.553232Z,42.27533,1.892209,125.25162,0.1980629,0.1779904,1.7681532,7428.276,4.7569084,186.28654,865.6536
attacktarget@domain.com,2022-08-31T20:05:37.071637Z,42.90121,1.892209,127.08082,0.1980629,0.1779904,1.7681532,7658.5195,4.7544494,191.26923,892.06244
attacktarget@domain.com,2022-08-31T20:20:43.124101Z,43.527096,1.892209,128.91005,0.1980629,0.1779904,1.7681532,7892.2764,4.7519946,196.3174,918.86884
attacktarget@domain.com,2022-08-31T20:22:29.031701Z,44.153435,1.892209,130.74028,0.1980629,0.1779904,1.7681532,8129.528,4.7494774,201.42828,946.0706
attacktarget@domain.com,2022-08-31T20:25:04.057828Z,44.780018,1.892209,132.57109,0.1980629,0.1779904,1.7681532,8370.281,4.7469306,206.60307,973.6688
attacktarget@domain.com,2022-08-31T20:31:58.762906Z,43.736187,1.892209,132.41238,0.1980629,0.1779904,1.7681532,8372.0625,4.6560082,212.52438,974.38086
attacktarget@domain.com,2022-08-31T20:36:31.298730Z,45.42965,1.892209,134.46696,0.1980629,0.1779904,1.7681532,8613.625,4.7479563,217.62395,1002.2144
attacktarget@domain.com,2022-08-31T20:43:03.079793Z,46.056274,1.892209,136.29771,0.1980629,0.1779904,1.7681532,8861.39,4.7455287,223.00024,1030.614
attacktarget@domain.com,2022-08-31T21:13:44.886217Z,46.68292,1.892209,138.12842,0.1980629,0.1779904,1.7681532,9112.667,4.743176,228.44162,1059.411
attacktarget@domain.com,2022-08-31T21:26:51.402860Z,47.309563,1.892209,139.95914,0.1980629,0.1779904,1.7681532,9367.457,4.740823,233.94843,1088.6057
attacktarget@domain.com,2022-08-31T21:28:00.429759Z,47.936226,1.892209,141.78984,0.1980629,0.1779904,1.7681532,9625.761,4.7384715,239.52061,1118.1981
attacktarget@domain.com,2022-08-31T21:31:31.851163Z,48.5629,1.892209,143.62071,0.1980629,0.1779904,1.7681532,9887.571,4.736151,245.15721,1148.1871
attacktarget@domain.com,2022-08-31T21:32:54.172209Z,48.586308,1.892209,143.68518,0.1980629,0.1779904,1.7681532,9886.574,4.74075,251.36798,1148.7767
attacktarget@domain.com,2022-08-31T21:40:54.286084Z,49.21296,1.892209,145.5159,0.1980629,0.1779904,1.7681532,10151.892,4.738393,257.14203,1179.1708
attacktarget@domain.com,2022-08-31T21:46:19.086007Z,49.839607,1.892209,147.3466,0.1980629,0.1779904,1.7681532,10420.718,4.7360415,262.98148,1209.962
attacktarget@domain.com,2022-08-31T21:56:37.653422Z,49.86305,1.892209,147.41122,0.1980629,0.1779904,1.7681532,10419.69,4.740669,269.41107,1210.5726
attacktarget@domain.com,2022-08-31T21:57:22.208962Z,50.489693,1.892209,149.24193,0.1980629,0.1779904,1.7681532,10692.016,4.7383184,275.38715,1241.7676
attacktarget@domain.com,2022-08-31T22:23:06.933213Z,51.11635,1.892209,151.07265,0.1980629,0.1779904,1.7681532,10967.857,4.7359667,281.42847,1273.3608
attacktarget@domain.com,2022-08-31T22:43:47.427043Z,51.139782,1.892209,151.13725,0.1980629,0.1779904,1.7681532,10966.804,4.740594,288.07782,1273.9928
attacktarget@domain.com,2022-08-31T23:07:47.037920Z,20.509169,1.892209,152.49785,0.1980629,0.1779904,1.7681532,10965.549,4.6987495,295.83716,1271.4586
attacktarget@domain.com,2022-08-31T23:20:54.677308Z,51.78987,1.892209,153.0326,0.1980629,0.1779904,1.7681532,11245.074,4.7428665,301.05365,1306.6366
attacktarget@domain.com,2022-08-31T23:45:08.997131Z,52.416515,1.892209,154.86331,0.1980629,0.1779904,1.7681532,11527.915,4.740516,307.3681,1339.0378
attacktarget@domain.com,2022-08-31T23:48:48.859047Z,53.043175,1.892209,156.69402,0.1980629,0.1779904,1.7681532,11814.265,4.7381644,313.7479,1371.8359
attacktarget@domain.com,2022-08-31T23:51:17.979920Z,53.669823,1.892209,158.52473,0.1980629,0.1779904,1.7681532,12104.132,4.7358127,320.1931,1405.0325
attacktarget@domain.com,2022-08-31T23:54:50.562683Z,53.693264,1.892209,158.58936,0.1980629,0.1779904,1.7681532,12103.023,4.7404394,327.282,1405.7073
djohnson@domain.com,2022-08-31T06:20:09.364836Z,0.8822177,0.10729811,0.3671453,0.8389752,0.38470003,0.029855512,2.3345537,4.030466,0.8716422,1.0940949
djohnson@domain.com,2022-08-31T09:41:27.611326Z,0.9197167,0.72131103,1.3591838,1.0803037,2.5700712,0.21841751,2.6583374,5.383026,0.59774584,1.7231238
djohnson@domain.com,2022-08-31T17:49:04.504930Z,0.9345477,0.30541235,0.52917814,0.9531167,0.5107166,0.18183188,1.1302117,3.606811,0.79565537,0.9941646
djohnson@domain.com,2022-08-31T18:18:07.229199Z,0.07790217,0.29267716,0.59345764,1.0204436,0.50733054,0.14438258,0.017322587,3.0231733,0.9741135,0.73897815
djohnson@domain.com,2022-08-31T22:43:42.152787Z,0.8827981,0.1292332,0.37653983,0.84606785,0.373784,0.029061075,0.69676125,3.644803,0.8212598,0.86670095
mmartin@domain.com,2022-08-31T02:15:16.439789Z,0.05368697,0.19306722,0.5764045,0.047790434,0.48583528,0.29086107,1.7206954,3.7207553,0.97337276,0.89583
mmartin@domain.com,2022-08-31T07:06:09.397713Z,0.40112948,0.34566328,1.4120265,0.5824668,0.14218323,0.27951044,1.7047448,3.9991906,0.9460886,1.0903337
mmartin@domain.com,2022-08-31T09:43:39.010208Z,0.053565823,0.19278587,0.57775164,0.046351258,0.48529986,0.29123935,1.1904415,4.050673,0.97443664,0.8736161
mmartin@domain.com,2022-08-31T11:41:39.478683Z,0.95341295,0.30056933,0.7919426,0.40387583,0.513683,0.28306925,0.12772045,3.6820276,0.90691257,0.8848015
mmartin@domain.com,2022-08-31T14:42:55.046795Z,0.4043604,0.33240023,1.4096745,0.58459675,0.15624891,0.27969247,1.107145,4.258246,0.9721164,1.0560534
tprice@domain.com,2022-08-31T01:19:23.595142Z,1.0013897,0.0032636966,0.17468718,0.0983572,0.07460351,0.33128062,1.0906224,2.3588877,0.81694466,0.66111517
tprice@domain.com,2022-08-31T04:55:53.691990Z,0.62921834,0.18486707,0.2945061,0.20503668,0.22356348,0.434445,0.6887265,0.6461144,0.4522682,0.41763842
tprice@domain.com,2022-08-31T06:52:49.308833Z,0.62842184,0.18427864,0.29413658,0.2045897,0.22293669,0.43388525,0.68702435,0.65004116,0.15862545,0.38488218
tprice@domain.com,2022-08-31T07:53:13.585483Z,0.627929,0.1815882,0.29344738,0.20330328,0.22185162,0.43262932,0.68629426,0.3281263,0.073193535,0.33870697
tprice@domain.com,2022-08-31T08:19:45.664440Z,1.024608,0.012425734,0.16624585,0.08553908,0.05903637,0.31988382,0.68210816,0.27695101,0.2566633,0.3203846
tprice@domain.com,2022-08-31T08:40:02.625261Z,0.62863666,0.17940697,0.29288492,0.20205787,0.2209843,0.43188325,0.6841771,0.73766094,0.4422534,0.4244384
tprice@domain.com,2022-08-31T11:13:18.632225Z,1.0302951,0.01590531,0.16453235,0.08286392,0.0552054,0.31746015,0.6781767,0.7299861,0.5566862,0.4034568
tprice@domain.com,2022-08-31T13:37:41.686253Z,1.0311887,0.016518945,0.16409466,0.082308754,0.05426469,0.31700486,0.6764418,0.729667,0.6493915,0.4134312
tprice@domain.com,2022-08-31T14:28:59.324597Z,0.62812567,0.17853159,0.29224485,0.20126635,0.21993524,0.43109387,0.67976487,0.7355474,0.7045116,0.4523357
tprice@domain.com,2022-08-31T14:42:48.709836Z,2.7057128,0.45150092,3.2554178,6.1846795,6.073707,1.7722868,0.18407795,0.59585464,0.7061066,2.4365938
tprice@domain.com,2022-08-31T18:03:06.215434Z,0.6457145,0.18425041,0.29621682,0.20557462,0.22654068,0.43696502,0.23529847,0.6072051,0.68103814,0.39097822
tprice@domain.com,2022-08-31T18:12:34.208407Z,0.64574397,0.18412389,0.2961157,0.2054573,0.22631654,0.43684655,0.23996882,0.60948193,0.60962504,0.38374218
tprice@domain.com,2022-08-31T18:35:54.661752Z,0.6457215,0.18397155,0.29600438,0.20532843,0.22610284,0.4367438,0.24492148,0.6118341,0.49643108,0.37189546
tprice@domain.com,2022-08-31T23:34:38.169221Z,0.64572024,0.18386304,0.2959263,0.20520899,0.22592935,0.43666515,0.24988344,0.61425215,0.34163517,0.35545376
khowell@domain.com,2022-08-31T03:35:26.464587Z,1.0111419,0.31348473,0.11814253,1.0676827,0.51776177,0.17569478,2.0148304,4.0644937,0.95956427,1.1380886
khowell@domain.com,2022-08-31T06:34:23.706167Z,1.0474173,0.3180193,0.81993985,1.1698953,0.51906073,0.19224794,1.8130548,2.958669,0.9742141,1.0902799
khowell@domain.com,2022-08-31T08:24:29.593914Z,0.42274922,0.25083378,0.57350075,1.0070722,0.49518958,0.21773487,2.414018,3.538446,0.8130371,1.0813979
khowell@domain.com,2022-08-31T11:43:30.926641Z,1.1580968,0.27341127,0.0058340393,0.97337985,0.50138694,0.16867732,1.6274074,3.9038806,0.8612413,1.0525907
khowell@domain.com,2022-08-31T14:55:26.517099Z,0.6752002,0.15804783,0.03940132,0.95628214,0.48060077,0.25771484,0.3422852,3.4514964,0.9420169,0.81144947
khowell@domain.com,2022-08-31T16:00:38.780086Z,1.0099775,0.31367448,0.12413917,1.0606133,0.51756734,0.17356238,0.67181706,3.9263415,0.9276436,0.96948177
khowell@domain.com,2022-08-31T18:53:49.211004Z,0.51821214,0.880034,1.1473206,0.378858,3.17856,0.28852403,0.5042212,4.6377306,0.89060986,1.3804523
khowell@domain.com,2022-08-31T23:17:42.990154Z,0.017571455,0.26347947,0.015095237,1.002615,0.5012021,0.2119451,0.56678736,5.209239,0.6371387,0.9361193
acole@domain.com,2022-08-31T03:24:21.450927Z,1.580076,0.43040034,1.1358912,0.034999814,1.6381364,0.3772988,1.4894667,2.6625118,0.8648778,1.134851
acole@domain.com,2022-08-31T03:25:04.115150Z,0.8535067,0.29316652,0.86515397,0.21293993,1.260229,0.18670955,0.5846155,2.7504828,0.39340967,0.82224596
acole@domain.com,2022-08-31T04:53:22.181800Z,0.8983652,0.5582774,1.058803,0.6528109,0.8783613,2.8579006,0.06331902,0.60754454,0.10654949,0.85354793
acole@domain.com,2022-08-31T06:39:15.942791Z,0.4669894,0.028805032,0.879312,1.365348,0.95200986,0.22840664,0.66366404,0.20871533,0.3677896,0.5734489
acole@domain.com,2022-08-31T07:06:06.657284Z,0.76921076,0.42721865,1.0608411,0.12752116,1.5799875,0.38905734,0.8748783,0.20834646,0.55747646,0.6660598
acole@domain.com,2022-08-31T07:47:33.839581Z,0.4495178,0.010940303,0.87316096,1.4624043,0.92174035,0.2686955,0.8829724,0.22968394,0.7534117,0.65028083
acole@domain.com,2022-08-31T11:59:38.917475Z,1.5973839,0.42877245,1.0803164,0.2830814,0.64683783,0.40582857,0.8364342,0.1900403,0.80533046,0.697114
acole@domain.com,2022-08-31T14:15:53.376904Z,0.11545136,0.48239914,0.9657835,0.3884567,0.7943412,0.5364773,0.5832385,0.2384123,0.7694943,0.54156154
acole@domain.com,2022-08-31T15:39:15.106896Z,1.2613255,0.062650494,0.92432535,1.1025665,1.0658596,0.13548167,0.57046354,0.24989186,0.6415821,0.66823846
